playerID,career_G_zsum,career_AB_zsum,career_R_zsum,career_H_zsum,career_2B_zsum,career_3B_zsum,career_HR_zsum,career_RBI_zsum,career_SB_zsum,career_BB_zsum,career_SO_zsum
aardsda01,-2.581880168686641,-5.933535128337223,-5.374707778041309,-5.571183995670051,-5.352440776075511,-3.6809300207603695,-4.4034782902996925,-5.214161744278062,-3.1418395885171293,-5.100996598028975,-6.015768199117898
aaronha01,42.9164941382008,48.938552190717914,67.3542884566864,57.00731024414415,58.20699591657515,35.018966786531166,97.54256537366122,75.68517836403235,40.2269076223504,51.42794643789976,32.39623078300875
aaronto01,0.9743580690958008,-0.4599885130020617,-0.828600738037791,-0.7523284983215641,0.32719518146074494,-0.5853209786851732,-1.7053510209973095,-0.7605616607210526,-0.8174629237286583,-0.4621017947771854,-0.9019011061622357
aasedo01,-5.41961305792714,-1.697883031394051,-1.535781194972115,-1.5968817601518155,-1.5040333069858713,-1.0600957295925229,-1.1107919067426275,-1.4681902315322448,-0.9051412182289879,-1.4461437373290802,-1.6220578531286014
abadan01,-2.9698723809977894,-1.9035772770815107,-1.7699483798430662,-1.8485650849042838,-1.809003199996823,-1.2689940662332555,-1.4599813093091092,-1.7402133981645693,-1.0728735869807928,-1.491732905107659,-1.9265606952685417
abadfe01,-0.8210276825198507,-3.928149294032532,-3.5785257357270357,-3.683973533599109,-3.5574867869752773,-2.4526381920980453,-2.9182844523622506,-3.4593102542719794,-2.1652391304312424,-3.417235945095137,-3.9673643060943595
abadijo01,-1.6791137444680198,-1.6151712043204842,-1.384381118391123,-1.4249396716573681,-1.4116206279795749,-1.1179628731672422,-0.5234334225254832,-1.1609531154660715,-0.9293506035119856,-1.1457769146222088,-0.9344734875047405
abbated01,6.244170709095948,6.360931294485343,5.421225666517313,5.982752309223152,4.313254101331554,4.685159120460368,2.7265312429861694,7.116900154068229,7.801983108867087,8.49114093558058,-0.9390555331390389
abbeybe01,-4.844056256894938,-4.879445192207192,-4.6196270937335875,-4.857821917674035,-4.617440246303759,-3.702048056980397,-3.5221470715288317,-4.708632255789962,-3.7743343985578948,-3.966832512035726,-2.318040309835485
abbeych01,4.244911789150413,4.1671642982065995,3.1124065483228067,3.3033244768463796,2.5276621964642656,5.419635635238323,3.7953533487335105,3.7597073012816127,2.806468486383114,3.5103367521812503,5.242441229810036
abbotda01,-1.047190791167698,-1.017867882797117,-0.8841319028599679,-0.9194035314653745,-0.8232820342071464,-0.4998475944972066,-0.5728779342834395,-0.8428100094794283,-0.6273081775730441,-0.8515732619570884,0.0
abbotfr01,-0.1463856774262574,-0.3905967097918916,-0.8434039968654483,-0.7803904819871674,-0.11166266089654096,-0.6233881723022673,-0.9635711413896875,-0.43786984048296784,-0.6779963787597902,-1.2795803813340552,0.0
abbotgl01,-8.720906550245024,-2.6423631042701787,-2.3378023395674496,-2.437814665633423,-2.2718890569466685,-1.6401002876591075,-1.6925891555334829,-2.250145216204364,-1.1991052233608896,-2.232120458176586,-2.643893339383146
abbotje01,-0.5134429368342229,-0.3441833279068012,-0.41748735265341413,-0.37340628724441355,-0.15273667993627194,-1.0233549922808842,-0.3743634655353243,-0.23382143429255348,-1.022654480479924,-1.3248324174296113,-0.9799432372949333
abbotji01,-6.538754642242237,-0.6335110604565223,-0.6569144046921989,-0.6578107323041901,-0.660321493550603,-0.4642355711968079,-0.5171067092743136,-0.5377766430960338,-0.3962114344530286,-0.6293602597401033,-0.47136354163375366
abbotku01,4.930921651103047,3.830022348490078,2.6815281567921336,3.028487525098299,3.6302849597662057,8.922785733982634,2.5262647940514613,1.9793578211428544,-0.9387000891251771,-0.37876881791374983,9.879124942368096
abbotky01,-3.2303560544650134,-1.5512494931059746,-1.4241736396482327,-1.5250069864615492,-1.3966091613583174,-1.0481446698173107,-1.1102580342618737,-1.3614246784683006,-0.8579336357110054,-1.3569012832080292,-1.136567242652637
abbotod01,-0.5238599229516308,-0.44385535308345525,-0.6115138783517807,-0.48536557125501134,-0.39753768179456656,-0.31624761980385063,-0.45060764312963225,-0.39774009065879345,-0.27289954101336245,-0.3832289383014825,0.1763532427627592
