Player_Type,VIF_Threshold,Model,Validator,Num_Features,Opt_MCC,Brier_Score,Opt_Recall,Opt_Precision,AUPRC,Opt_Threshold,Golden_Features
hitter,10.01,RandomForest,StratifiedKFold,35,0.19721034718524355,0.028747357127964945,0.9183673469387755,0.05583126550868486,0.2430787696153733,0.13346007537337606,"batting_BAbip, batting_SH, batting_SBP, batting_ABPerK, batting_ABPerHR, batting_3B, batting_BB, batting_PowerSpeedNumber, batting_SB, post_batting_BAbip, post_batting_SH, post_batting_ABPerK, batting_GIDP, post_batting_SO, batting_CS, post_batting_GIDP, post_batting_SBP, post_batting_SB, batting_SF, ASGs, MVPs, post_batting_ISO, post_batting_HR, post_batting_ABPerHR, post_batting_3B, post_batting_IBB, ASGMVPs, GoldGloves, post_batting_CS, PEDUser, post_batting_SF, WSMVPs, TripleCrowns, NLCSMVPs, SilverSluggers"
hitter,10.01,XGBoost,StratifiedKFold,35,0.1952627977956354,0.02136581763625145,0.9387755102040817,0.053864168618266976,0.31883231887935776,0.04967078939080238,"batting_BAbip, batting_SH, batting_SBP, batting_ABPerK, batting_ABPerHR, batting_3B, batting_BB, batting_PowerSpeedNumber, batting_SB, post_batting_BAbip, post_batting_SH, post_batting_ABPerK, batting_GIDP, post_batting_SO, batting_CS, post_batting_GIDP, post_batting_SBP, post_batting_SB, batting_SF, ASGs, MVPs, post_batting_ISO, post_batting_HR, post_batting_ABPerHR, post_batting_3B, post_batting_IBB, ASGMVPs, GoldGloves, post_batting_CS, PEDUser, post_batting_SF, WSMVPs, TripleCrowns, NLCSMVPs, SilverSluggers"
hitter,10.01,LinearSVC,StratifiedKFold,35,0.03665256574167879,0.008983314903733084,1.0,0.014323297281496639,0.4529843131592133,0.0019000497499763527,"batting_BAbip, batting_SH, batting_SBP, batting_ABPerK, batting_ABPerHR, batting_3B, batting_BB, batting_PowerSpeedNumber, batting_SB, post_batting_BAbip, post_batting_SH, post_batting_ABPerK, batting_GIDP, post_batting_SO, batting_CS, post_batting_GIDP, post_batting_SBP, post_batting_SB, batting_SF, ASGs, MVPs, post_batting_ISO, post_batting_HR, post_batting_ABPerHR, post_batting_3B, post_batting_IBB, ASGMVPs, GoldGloves, post_batting_CS, PEDUser, post_batting_SF, WSMVPs, TripleCrowns, NLCSMVPs, SilverSluggers"
hitter,10.01,EBM,StratifiedKFold,35,0.1953830712612914,0.008904736308173587,0.9795918367346939,0.05172413793103448,0.49651800233353655,0.0059987819191083275,"batting_BAbip, batting_SH, batting_SBP, batting_ABPerK, batting_ABPerHR, batting_3B, batting_BB, batting_PowerSpeedNumber, batting_SB, post_batting_BAbip, post_batting_SH, post_batting_ABPerK, batting_GIDP, post_batting_SO, batting_CS, post_batting_GIDP, post_batting_SBP, post_batting_SB, batting_SF, ASGs, MVPs, post_batting_ISO, post_batting_HR, post_batting_ABPerHR, post_batting_3B, post_batting_IBB, ASGMVPs, GoldGloves, post_batting_CS, PEDUser, post_batting_SF, WSMVPs, TripleCrowns, NLCSMVPs, SilverSluggers"
hitter,10.01,BalancedRandomForest,StratifiedKFold,35,0.1977015134185276,0.20310212356215754,0.9183673469387755,0.05603985056039851,0.06982112698810619,0.645,"batting_BAbip, batting_SH, batting_SBP, batting_ABPerK, batting_ABPerHR, batting_3B, batting_BB, batting_PowerSpeedNumber, batting_SB, post_batting_BAbip, post_batting_SH, post_batting_ABPerK, batting_GIDP, post_batting_SO, batting_CS, post_batting_GIDP, post_batting_SBP, post_batting_SB, batting_SF, ASGs, MVPs, post_batting_ISO, post_batting_HR, post_batting_ABPerHR, post_batting_3B, post_batting_IBB, ASGMVPs, GoldGloves, post_batting_CS, PEDUser, post_batting_SF, WSMVPs, TripleCrowns, NLCSMVPs, SilverSluggers"
hitter,10.01,LogisticRegression,RepeatedStratifiedKFold,35,0.023841656692382487,0.06295156544274626,1.0,0.013558384061981184,0.4579778999897731,0.09612764761955868,"batting_BAbip, batting_SH, batting_SBP, batting_ABPerK, batting_ABPerHR, batting_3B, batting_BB, batting_PowerSpeedNumber, batting_SB, post_batting_BAbip, post_batting_SH, post_batting_ABPerK, batting_GIDP, post_batting_SO, batting_CS, post_batting_GIDP, post_batting_SBP, post_batting_SB, batting_SF, ASGs, MVPs, post_batting_ISO, post_batting_HR, post_batting_ABPerHR, post_batting_3B, post_batting_IBB, ASGMVPs, GoldGloves, post_batting_CS, PEDUser, post_batting_SF, WSMVPs, TripleCrowns, NLCSMVPs, SilverSluggers"
hitter,10.01,RandomForest,RepeatedStratifiedKFold,35,0.20155043386348825,0.028521206464703307,0.9183673469387755,0.057692307692307696,0.24288659307942342,0.1454309401805954,"batting_BAbip, batting_SH, batting_SBP, batting_ABPerK, batting_ABPerHR, batting_3B, batting_BB, batting_PowerSpeedNumber, batting_SB, post_batting_BAbip, post_batting_SH, post_batting_ABPerK, batting_GIDP, post_batting_SO, batting_CS, post_batting_GIDP, post_batting_SBP, post_batting_SB, batting_SF, ASGs, MVPs, post_batting_ISO, post_batting_HR, post_batting_ABPerHR, post_batting_3B, post_batting_IBB, ASGMVPs, GoldGloves, post_batting_CS, PEDUser, post_batting_SF, WSMVPs, TripleCrowns, NLCSMVPs, SilverSluggers"
hitter,10.01,XGBoost,RepeatedStratifiedKFold,35,0.19628814414289336,0.03528705984354019,0.9591836734693877,0.053167420814479636,0.3085090839529928,0.06440361589193344,"batting_BAbip, batting_SH, batting_SBP, batting_ABPerK, batting_ABPerHR, batting_3B, batting_BB, batting_PowerSpeedNumber, batting_SB, post_batting_BAbip, post_batting_SH, post_batting_ABPerK, batting_GIDP, post_batting_SO, batting_CS, post_batting_GIDP, post_batting_SBP, post_batting_SB, batting_SF, ASGs, MVPs, post_batting_ISO, post_batting_HR, post_batting_ABPerHR, post_batting_3B, post_batting_IBB, ASGMVPs, GoldGloves, post_batting_CS, PEDUser, post_batting_SF, WSMVPs, TripleCrowns, NLCSMVPs, SilverSluggers"
hitter,10.01,LinearSVC,RepeatedStratifiedKFold,35,0.03665256574167879,0.008983314903733084,1.0,0.014323297281496639,0.4529843131592133,0.0019000497499763527,"batting_BAbip, batting_SH, batting_SBP, batting_ABPerK, batting_ABPerHR, batting_3B, batting_BB, batting_PowerSpeedNumber, batting_SB, post_batting_BAbip, post_batting_SH, post_batting_ABPerK, batting_GIDP, post_batting_SO, batting_CS, post_batting_GIDP, post_batting_SBP, post_batting_SB, batting_SF, ASGs, MVPs, post_batting_ISO, post_batting_HR, post_batting_ABPerHR, post_batting_3B, post_batting_IBB, ASGMVPs, GoldGloves, post_batting_CS, PEDUser, post_batting_SF, WSMVPs, TripleCrowns, NLCSMVPs, SilverSluggers"
hitter,10.01,EBM,RepeatedStratifiedKFold,35,0.19411718434111994,0.009064353127553614,0.9795918367346939,0.051227321237993596,0.4848859952257794,0.005689361617594196,"batting_BAbip, batting_SH, batting_SBP, batting_ABPerK, batting_ABPerHR, batting_3B, batting_BB, batting_PowerSpeedNumber, batting_SB, post_batting_BAbip, post_batting_SH, post_batting_ABPerK, batting_GIDP, post_batting_SO, batting_CS, post_batting_GIDP, post_batting_SBP, post_batting_SB, batting_SF, ASGs, MVPs, post_batting_ISO, post_batting_HR, post_batting_ABPerHR, post_batting_3B, post_batting_IBB, ASGMVPs, GoldGloves, post_batting_CS, PEDUser, post_batting_SF, WSMVPs, TripleCrowns, NLCSMVPs, SilverSluggers"
hitter,10.01,BalancedRandomForest,RepeatedStratifiedKFold,35,0.19935966050251244,0.2032637483483948,0.8979591836734694,0.057971014492753624,0.08439958354272316,0.71,"batting_BAbip, batting_SH, batting_SBP, batting_ABPerK, batting_ABPerHR, batting_3B, batting_BB, batting_PowerSpeedNumber, batting_SB, post_batting_BAbip, post_batting_SH, post_batting_ABPerK, batting_GIDP, post_batting_SO, batting_CS, post_batting_GIDP, post_batting_SBP, post_batting_SB, batting_SF, ASGs, MVPs, post_batting_ISO, post_batting_HR, post_batting_ABPerHR, post_batting_3B, post_batting_IBB, ASGMVPs, GoldGloves, post_batting_CS, PEDUser, post_batting_SF, WSMVPs, TripleCrowns, NLCSMVPs, SilverSluggers"
