playerID,batting_G,batting_AB,batting_R,batting_H,batting_2B,batting_3B,batting_HR,batting_RBI,batting_SB,batting_CS,batting_BB,batting_SO,batting_IBB,batting_HBP,batting_SH,batting_SF,batting_GIDP,batting_1B,batting_TB,batting_PA,batting_OBP,batting_AVG,batting_SLG,batting_OPS,batting_SBP,batting_BAbip,batting_ISO,batting_PowerSpeedNumber,batting_ABPerHR,batting_ABPerK
salazlu01,12,27,2,9,0,2,1,2,0,2.0,0,1,0.0,0.0,0.0,0.0,1.0,6,16,27.0,0.9017543859649122,0.9017543859649122,1.5649122807017544,2.466666666666667,0.0,0.9166666666666666,0.6631578947368422,0.0,19.0,5.0
salkebi01,5,9,2,2,0,0,1,1,0,0.0,5,1,0.0,0.0,1.0,0.0,0.0,1,5,14.0,0.5,0.2222222222222222,0.5555555555555556,1.0555555555555556,0.0,0.14285714285714285,0.3333333333333333,0.0,9.0,9.0
sallesl01,4,10,0,1,0,0,0,1,0,0.0,0,2,0.0,0.0,1.0,0.0,0.0,1,1,10.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.0,0.25,0.0,0.0,0.0,3.0
salmoch01,4,2,1,1,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1,1,2.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
salmoti01,16,59,10,17,2,0,4,12,1,0.0,8,13,1.0,1.0,0.0,0.0,1.0,11,31,68.0,1.1045540796963946,0.8235974551764025,1.4612492770387506,2.5658033567351453,1.0,0.8925339366515836,0.6376518218623481,1.3333333333333333,22.5,21.514285714285712
saltaja01,10,32,1,6,1,0,0,5,0,0.0,3,19,0.0,0.0,0.0,0.0,0.0,5,7,35.0,0.8011363636363636,0.4875,0.5875,1.3886363636363637,0.0,1.375,0.1,0.0,0.0,4.928571428571429
samarje01,1,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sambijo01,6,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
samueju01,4,1,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sanchaa01,9,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sanchan01,7,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sanchdu01,2,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sanchfr01,15,63,5,17,4,0,0,4,0,0.0,1,8,0.0,1.0,2.0,0.0,2.0,13,21,65.0,0.8549494949494949,0.7577272727272727,0.9340909090909091,1.7890404040404042,0.0,0.862937062937063,0.17636363636363636,0.0,0.0,24.666666666666668
sanchga01,3,5,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,1.0,0,0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sanchhe01,4,11,1,1,0,0,0,0,0,0.0,2,7,0.0,0.0,0.0,0.0,0.0,1,1,13.0,0.75,0.5,0.5,1.25,0.0,1.0,0.0,0.0,0.0,5.0
sanchjo01,3,6,1,1,0,0,0,0,0,0.0,0,4,0.0,0.0,0.0,0.0,0.0,1,1,6.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,1.0,0.0,0.0,0.0,3.0
sanchre01,13,41,3,10,3,0,0,2,0,0.0,1,8,0.0,0.0,1.0,0.0,1.0,7,13,42.0,0.7663398692810457,0.7163398692810458,0.9529411764705882,1.719281045751634,0.0,0.9010989010989011,0.23660130718954248,0.0,0.0,16.25
sandbry01,10,39,9,15,5,1,1,6,3,1.0,6,6,0.0,0.0,1.0,1.0,0.0,8,25,46.0,0.9128787878787878,0.7684210526315789,1.2736842105263158,2.186562998405104,0.75,0.8492647058823529,0.5052631578947369,0.0,20.0,14.5
sandede02,13,23,4,8,2,0,0,1,5,0.0,2,5,0.0,0.0,0.0,0.0,0.0,6,10,25.0,0.5882352941176471,0.5333333333333333,0.6666666666666666,1.2549019607843137,1.0,0.5714285714285714,0.13333333333333333,0.0,0.0,19.666666666666664
sandera01,14,40,9,11,0,0,2,3,0,0.0,9,12,2.0,0.0,0.0,0.0,0.0,9,17,49.0,1.323076923076923,0.5798319327731092,0.8991596638655461,2.2222365869424694,0.0,0.75,0.31932773109243695,0.0,38.0,6.875
sandere02,64,221,24,43,8,0,7,25,9,1.0,26,79,4.0,2.0,0.0,2.0,8.0,28,72,251.0,3.906369573838614,2.556991832407433,4.428003670810576,8.33437324464919,8.0,3.3901418026418026,1.8710118384031427,5.666666666666666,81.5,47.38015873015873
sandesc01,4,3,0,0,0,0,0,0,0,0.0,0,2,0.0,0.0,0.0,0.0,0.0,0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
sandesc02,1,1,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sandopa01,39,154,21,53,13,0,6,20,0,0.0,10,22,2.0,2.0,0.0,0.0,5.0,34,84,166.0,3.631558962996138,3.099442571947109,4.67317431509809,8.304733278094227,0.0,3.4700043917435224,1.5737317431509807,0.0,40.833333333333336,57.5
sandsch01,1,1,0,0,0,0,0,0,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
sanfoja02,3,7,0,3,0,0,0,0,0,0.0,0,2,0.0,0.0,1.0,0.0,0.0,3,3,7.0,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.8571428571428571,0.0,0.6,0.0,0.0,0.0,3.5
sanguma01,29,103,8,29,3,0,1,4,3,0.0,1,5,0.0,0.0,0.0,0.0,2.0,25,35,104.0,1.9209770114942528,1.8751436781609194,2.2221264367816094,4.143103448275862,2.0,1.9072760572760572,0.34698275862068967,0.0,16.0,36.666666666666664
