yearID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
1871,19.965217391304346,94.10434782608695,23.121739130434783,26.965217391304346,3.773913043478261,2.0782608695652174,0.40869565217391307,15.504347826086956,3.8347826086956522,1.0695652173913044,3.417391304347826,1.5217391304347827,,,,,
1872,21.19871794871795,100.50641025641026,21.73076923076923,28.762820512820515,3.6346153846153846,0.8910256410256411,0.22435897435897437,13.48076923076923,1.6282051282051282,0.7564102564102564,1.5833333333333333,1.6153846153846154,,,,,
1873,28.824,135.792,28.64,39.384,4.448,1.664,0.368,18.712,1.4,0.792,2.576,1.944,,,,,
1874,34.13821138211382,155.3170731707317,28.211382113821138,42.48780487804878,5.146341463414634,1.5772357723577235,0.3252032520325203,18.284552845528456,1.8373983739837398,0.7398373983739838,1.91869918699187,2.8048780487804876,,,,,
1875,28.665137614678898,123.08715596330275,19.422018348623855,31.24770642201835,3.8486238532110093,1.2522935779816513,0.1834862385321101,12.431192660550458,2.885321100917431,1.4678899082568808,1.1422018348623852,3.096330275229358,,,,,
1876,37.87096774193548,162.26612903225808,24.725806451612904,43.04838709677419,5.104838709677419,1.4596774193548387,0.3225806451612903,16.0,,,2.7096774193548385,4.75,,,,,
1877,33.47422680412371,140.89690721649484,21.030927835051546,38.1958762886598,4.443298969072165,2.1030927835051547,0.24742268041237114,14.536082474226804,0.0,0.0,3.556701030927835,7.484536082474227,0.0,0.0,0.0,,
1878,41.4875,170.55,23.8,44.2375,6.0125,1.65,0.2875,16.6375,,,4.55,13.5125,,,,,
1879,45.62992125984252,190.1968503937008,26.84251968503937,48.59055118110236,7.543307086614173,2.4960629921259843,0.4566929133858268,18.559055118110237,,,4.0,14.511811023622048,,,,,
1880,45.60740740740741,180.0074074074074,23.637037037037036,44.044444444444444,7.2592592592592595,2.4296296296296296,0.45925925925925926,16.45925925925926,,,5.481481481481482,14.762962962962963,,,,,
1881,46.09090909090909,184.67424242424244,25.954545454545453,48.02272727272727,8.090909090909092,2.303030303030303,0.5757575757575758,18.848484848484848,,,7.825757575757576,13.515151515151516,,,,,
1882,41.05179282868526,165.9003984063745,24.282868525896415,41.179282868525895,6.46215139442231,2.4860557768924303,0.7091633466135459,20.91823899371069,0.0,0.0,6.330677290836653,17.134920634920636,0.0,0.0,0.0,,
1883,50.26148409893993,203.78798586572438,31.908127208480565,52.39575971731449,8.787985865724382,3.3427561837455833,0.8409893992932862,15.978798586572438,0.0,,8.219081272084805,21.63157894736842,,,,,
1884,35.588235294117645,139.7851662404092,21.40920716112532,34.00639386189258,5.140664961636829,1.9641943734015346,0.8823529411764706,10.882222222222222,0.0,,6.326086956521739,25.95808383233533,,1.6537102473498233,,,
1885,45.668555240793204,177.69121813031163,26.322946175637394,43.35694050991501,6.212464589235127,2.73371104815864,0.9150141643059491,18.379603399433428,0.0,,10.0,18.43646408839779,,1.9186046511627908,,,
1886,54.18518518518518,207.76923076923077,32.7977207977208,51.20797720797721,7.632478632478633,3.2905982905982905,1.1766381766381766,23.472934472934472,9.239316239316238,,15.823361823361823,25.745454545454546,,1.6612903225806452,,,
1887,57.531531531531535,224.42642642642642,40.28228228228228,60.76276276276276,9.273273273273274,4.198198198198198,1.8198198198198199,31.21021021021021,19.054054054054053,,18.177177177177178,17.30674846625767,,2.24024024024024,,,
1888,56.25356125356125,214.92592592592592,30.27920227920228,51.282051282051285,6.982905982905983,3.0028490028490027,1.4843304843304843,22.894586894586894,14.985754985754985,,13.467236467236468,22.71590909090909,,2.3475783475783474,,,
